# units: altitude[m] ambient_pressure[Pa] thrust[N] thrust_ideal[N] thrust_momentum[N] thrust_pressure[N] isp[s] isp_ideal[s] cf[-] exit_pressure[Pa] exit_ambient_ratio[-] exit_mach[-] exit_velocity[m/s] separation_predicted[-] shock_in_nozzle[-] regime[-]
altitude,ambient_pressure,thrust,thrust_ideal,thrust_momentum,thrust_pressure,isp,isp_ideal,cf,exit_pressure,exit_ambient_ratio,exit_mach,exit_velocity,separation_predicted,shock_in_nozzle,regime
67000,8.175711771,165307.0059,166063.566,155479.953,10583.61306,350.9039907,352.509972,1.952462124,34384.38661,4205.675001,3.459541588,3236.623056,0,0,under-expanded
67500,7.595263409,165307.1846,166063.7447,155479.953,10583.79177,350.90437,352.5103513,1.952464235,34384.38661,4527.082836,3.459541588,3236.623056,0,0,under-expanded
68000,7.05295185,165307.3516,166063.9117,155479.953,10583.95873,350.9047245,352.5107058,1.952466207,34384.38661,4875.176712,3.459541588,3236.623056,0,0,under-expanded
68500,6.546475201,165307.5075,166064.0676,155479.953,10584.11466,350.9050555,352.5110368,1.952468049,34384.38661,5252.35116,3.459541588,3236.623056,0,0,under-expanded
69000,6.0736581,165307.6531,166064.2132,155479.953,10584.26023,350.9053645,352.5113458,1.952469768,34384.38661,5661.231839,3.459541588,3236.623056,0,0,under-expanded
69500,5.632445451,165307.7889,166064.3491,155479.953,10584.39607,350.9056528,352.5116341,1.952471372,34384.38661,6104.699445,3.459541588,3236.623056,0,0,under-expanded
70000,5.22089643,165307.9157,166064.4758,155479.953,10584.52278,350.9059218,352.5119031,1.952472869,34384.38661,6585.916245,3.459541588,3236.623056,0,0,under-expanded
70500,4.837178762,165308.0338,166064.5939,155479.953,10584.64091,350.9061726,352.5121539,1.952474264,34384.38661,7108.355574,3.459541588,3236.623056,0,0,under-expanded
71000,4.479563246,165308.1439,166064.704,155479.953,10584.75102,350.9064063,352.5123876,1.952475565,34384.38661,7675.834612,3.459541588,3236.623056,0,0,under-expanded
71500,4.146418532,165308.2465,166064.8066,155479.953,10584.85358,350.906624,352.5126053,1.952476776,34384.38661,8292.550873,3.459541588,3236.623056,0,0,under-expanded
