# units: altitude[m] ambient_pressure[Pa] thrust[N] thrust_ideal[N] thrust_momentum[N] thrust_pressure[N] isp[s] isp_ideal[s] cf[-] exit_pressure[Pa] exit_ambient_ratio[-] exit_mach[-] exit_velocity[m/s] separation_predicted[-] shock_in_nozzle[-] regime[-]
altitude,ambient_pressure,thrust,thrust_ideal,thrust_momentum,thrust_pressure,isp,isp_ideal,cf,exit_pressure,exit_ambient_ratio,exit_mach,exit_velocity,separation_predicted,shock_in_nozzle,regime
58500,26.87290788,173320.9156,174127.3101,165721.3634,8405.946678,367.9154469,369.6272136,2.047115433,12161.54833,452.5579585,3.973941466,3449.818291,0,0,under-expanded
59000,25.13245388,173322.1213,174128.5157,165721.3634,8407.152328,367.9180061,369.6297729,2.047129673,12161.54833,483.8981657,3.973941466,3449.818291,0,0,under-expanded
59500,23.49628638,173323.2547,174129.6491,165721.3634,8408.285736,367.9204121,369.6321788,2.04714306,12161.54833,517.5944885,3.973941466,3449.818291,0,0,under-expanded
60000,21.95866614,173324.3198,174130.7143,165721.3634,8409.350878,367.9226731,369.6344398,2.047155641,12161.54833,553.8382091,3.973941466,3449.818291,0,0,under-expanded
60500,20.51414152,173325.3205,174131.7149,165721.3634,8410.351531,367.9247972,369.636564,2.047167459,12161.54833,592.837303,3.973941466,3449.818291,0,0,under-expanded
61000,19.15753548,173326.2602,174132.6547,165721.3634,8411.29128,367.9267921,369.6385588,2.047178559,12161.54833,634.8179985,3.973941466,3449.818291,0,0,under-expanded
61500,17.88393316,173327.1425,174133.5369,165721.3634,8412.173532,367.9286649,369.6404316,2.047188979,12161.54833,680.026492,3.973941466,3449.818291,0,0,under-expanded
62000,16.68866987,173327.9705,174134.3649,165721.3634,8413.001516,367.9304225,369.6421892,2.047198759,12161.54833,728.7308351,3.973941466,3449.818291,0,0,under-expanded
62500,15.56731963,173328.7472,174135.1417,165721.3634,8413.778299,367.9320714,369.6438381,2.047207933,12161.54833,781.2230119,3.973941466,3449.818291,0,0,under-expanded
63000,14.51568418,173329.4757,174135.8702,165721.3634,8414.506789,367.9336178,369.6453845,2.047216538,12161.54833,837.8212269,3.973941466,3449.818291,0,0,under-expanded
63500,13.52978239,173330.1587,174136.5531,165721.3634,8415.189744,367.9350675,369.6468342,2.047224604,12161.54833,898.8724264,3.973941466,3449.818291,0,0,under-expanded
64000,12.60584017,173330.7987,174137.1932,165721.3634,8415.829778,367.9364261,369.6481929,2.047232164,12161.54833,964.7550788,3.973941466,3449.818291,0,0,under-expanded
64500,11.74028074,173331.3983,174137.7928,165721.3634,8416.42937,367.9376989,369.6494656,2.047239246,12161.54833,1035.882241,3.973941466,3449.818291,0,0,under-expanded
65000,10.92971536,173331.9598,174138.3543,165721.3634,8416.990866,367.9388908,369.6506576,2.047245877,12161.54833,1112.704945,3.973941466,3449.818291,0,0,under-expanded
65500,10.17093438,173332.4854,174138.8799,165721.3634,8417.516489,367.9400066,369.6517733,2.047252086,12161.54833,1195.715936,3.973941466,3449.818291,0,0,under-expanded
66000,9.460898779,173332.9773,174139.3717,165721.3634,8418.008346,367.9410507,369.6528174,2.047257895,12161.54833,1285.453805,3.973941466,3449.818291,0,0,under-expanded
66500,8.796731919,173333.4374,174139.8318,165721.3634,8418.468428,367.9420273,369.653794,2.047263329,12161.54833,1382.507554,3.973941466,3449.818291,0,0,under-expanded
67000,8.175711771,173333.8676,174140.262,165721.3634,8418.898622,367.9429405,369.6547072,2.04726841,12161.54833,1487.521658,3.973941466,3449.818291,0,0,under-expanded
67500,7.595263409,173334.2696,174140.6641,165721.3634,8419.300711,367.943794,369.6555608,2.047273159,12161.54833,1601.201654,3.973941466,3449.818291,0,0,under-expanded
68000,7.05295185,173334.6453,174141.0398,165721.3634,8419.676382,367.9445915,369.6563582,2.047277596,12161.54833,1724.32034,3.973941466,3449.818291,0,0,under-expanded
68500,6.546475201,173334.9962,174141.3906,165721.3634,8420.027229,367.9453362,369.657103,2.04728174,12161.54833,1857.724647,3.973941466,3449.818291,0,0,under-expanded
69000,6.0736581,173335.3237,174141.7182,165721.3634,8420.354759,367.9460315,369.6577982,2.047285609,12161.54833,2002.343255,3.973941466,3449.818291,0,0,under-expanded
69500,5.632445451,173335.6293,174142.0238,165721.3634,8420.660397,367.9466803,369.658447,2.047289219,12161.54833,2159.195049,3.973941466,3449.818291,0,0,under-expanded
70000,5.22089643,173335.9144,174142.3089,165721.3634,8420.945485,367.9472855,369.6590522,2.047292586,12161.54833,2329.398503,3.973941466,3449.818291,0,0,under-expanded
70500,4.837178762,173336.1802,174142.5747,165721.3634,8421.211295,367.9478497,369.6596164,2.047295725,12161.54833,2514.182115,3.973941466,3449.818291,0,0,under-expanded
71000,4.479563246,173336.428,174142.8224,165721.3634,8421.459023,367.9483756,369.6601423,2.047298651,12161.54833,2714.895998,3.973941466,3449.818291,0,0,under-expanded
71500,4.146418532,173336.6587,174143.0532,165721.3634,8421.689799,367.9488654,369.6606322,2.047301377,12161.54833,2933.024787,3.973941466,3449.818291,0,0,under-expanded
72000,3.836248908,173336.8736,174143.2681,165721.3634,8421.90466,367.9493215,369.6610883,2.047303915,12161.54833,3170.166645,3.973941466,3449.818291,0,0,under-expanded
72500,3.54797073,173337.0733,174143.4678,165721.3634,8422.104356,367.9497454,369.6615122,2.047306274,12161.54833,3427.74765,3.973941466,3449.818291,0,0,under-expanded
