# units: chamber.pressure[Pa] propellants.mixture_ratio[-] chamber.eta_c_star[-] nozzle.throat_radius[m] nozzle.expansion_ratio[-] propellants.fuel_temperature[K] cooling.wall_thickness[m] cooling.wall_conductivity[W/(m K)] cooling.channel_height[m] cooling.bartz_multiplier[-] performance.thrust[N] performance.isp[s] performance.isp_vacuum[s] performance.mdot[kg/s] performance.exit_pressure[Pa] chamber.temperature[K] chamber.c_star[m/s] cooling.max_wall_temperature[K] cooling.max_heat_flux[W/m^2] cooling.pressure_drop[Pa] cooling.outlet_temperature[K] cooling_energy_residual[-] wall_limit_exceeded[-] coolant_boiling[-] separation_predicted[-] shock_in_nozzle[-] status[-]
chamber.pressure,propellants.mixture_ratio,chamber.eta_c_star,nozzle.throat_radius,nozzle.expansion_ratio,propellants.fuel_temperature,cooling.wall_thickness,cooling.wall_conductivity,cooling.channel_height,cooling.bartz_multiplier,performance.thrust,performance.isp,performance.isp_vacuum,performance.mdot,performance.exit_pressure,chamber.temperature,chamber.c_star,cooling.max_wall_temperature,cooling.max_heat_flux,cooling.pressure_drop,cooling.outlet_temperature,cooling_energy_residual,wall_limit_exceeded,coolant_boiling,separation_predicted,shock_in_nozzle,status
5465746.583,3.43370138,0.9584512,0.06998573841,19.93516,114.9337563,0.000599733947,295.7017798,0.00496922832,0.9868340518,133514.8999,284.4172401,350.6284452,47.8688662,34704.52668,3526.264765,1756.973947,803.467486,48617617.32,3251682.264,488.8837536,1.239311478e-09,1,0,1,0,ok
5595823.393,3.256074326,0.951120491,0.06975582982,20.08138804,108.9480216,0.0005749324955,321.6911385,0.004854930197,1.055512294,136516.0925,285.9487694,351.1004489,48.68273192,33112.35906,3508.453856,1757.114043,817.8264228,53401795.32,4218579.53,502.0602693,1.176684221e-09,1,0,1,0,ok
5635053.945,3.40399616,0.9457026657,0.06996986218,19.93974811,111.1875818,0.0005553660289,317.2221176,0.004935874471,0.7927398077,140511.3013,287.0513429,350.5342077,49.91499104,35381.59823,3527.442475,1736.356872,668.0015142,43566384.28,2799397.146,414.1701297,7.131319297e-09,0,0,1,0,ok
5528060.929,3.388391698,0.9778386547,0.07014844629,19.99565799,108.0469864,0.0006273570439,309.7503889,0.004915541345,1.141480361,132618.622,284.2211741,351.3470886,47.58032523,34424.31056,3523.129173,1796.10367,878.8884982,53703569.84,3962236.837,539.6109618,4.427490842e-09,1,0,1,0,ok
5511768.437,3.377734222,0.9369414081,0.07017579493,19.82157394,112.5542777,0.0006051615975,303.3983594,0.004975160219,0.9097782419,139035.1836,286.2921285,350.2750397,49.52159588,34599.38718,3522.199511,1721.951385,753.9346547,47326273.21,3196589.414,455.5689309,7.635183812e-09,0,0,1,0,ok
5479711.377,3.411106523,0.9631134458,0.06994312733,19.94161822,108.9577413,0.0006232404724,307.4907855,0.005095452466,1.195601247,132905.509,284.3747233,350.8201332,47.65750652,34512.37855,3524.119479,1767.121189,913.4951006,55463862.54,3772139.133,556.341942,2.081229402e-09,1,0,1,0,ok
5488842.454,3.358324432,0.9347448439,0.07003326658,20.01316966,114.1571687,0.0005996028688,297.6320143,0.005053998263,0.7628806137,137843.3498,285.7582453,350.5327471,49.18881642,33816.95944,3519.835687,1719.384601,662.0944435,41574599.82,2456204.944,400.209503,1.321043646e-10,0,0,1,0,ok
5453872.854,3.415547061,0.9526729455,0.06996895189,20.11781037,110.3479621,0.000585538343,320.107671,0.004956766109,1.093761716,133753.6732,284.1567777,350.7622993,47.99842896,34021.18231,3524.019345,1747.586156,846.8463249,52825971.47,3766109.423,526.3295335,6.277784399e-09,1,0,1,0,ok
5549807.302,3.461328022,0.9697234424,0.07007701983,20.07465852,109.7751313,0.0005868684149,330.9430948,0.005037674216,0.9919875729,134553.155,284.5086382,350.8626937,48.22561259,35204.92593,3529.772947,1775.420672,788.6250096,49302770.14,3192993.797,494.1841387,3.310532693e-10,0,0,1,0,ok
5449682.804,3.465961485,0.9465611155,0.07001165858,19.86728532,110.892778,0.0006349577141,335.6207664,0.00507374799,0.8156084648,135269.2923,284.7416893,349.9942539,48.44260454,35104.46863,3527.764927,1732.344833,683.2014575,43051345.19,2487197.751,427.6214145,4.307732194e-09,0,0,1,0,ok
5675694.738,3.437296451,0.9579968396,0.07009177901,19.98510784,112.5091729,0.0006203344257,309.2424154,0.005045213446,0.8043539899,140278.749,286.8173855,350.7203102,49.8730279,35913.03857,3531.310059,1756.456231,689.7695656,43391216.82,2644811.779,419.4727936,2.695518669e-09,0,0,1,0,ok
